date,closing_price,starting_price,high_price,low_price,trans_thd,trans_vol_mil,mkt_cap_mil
2009/04/27,1339.83,1358.20,1366.66,1334.02,547298,6993373,695410917
2009/04/28,1300.24,1344.77,1353.80,1298.86,759036,7666212,675156999
2009/04/29,1338.42,1310.62,1338.43,1299.98,599343,5664585,694655752
2009/04/30,1369.36,1353.67,1377.82,1350.46,811764,8582747,710678764
2009/05/04,1397.92,1386.02,1397.92,1381.12,749111,9028020,725516600
2009/05/06,1393.45,1399.82,1408.57,1385.35,738946,9876755,722530392
2009/05/07,1401.08,1414.55,1415.48,1389.82,770554,9553835,726494462
2009/05/08,1412.13,1400.47,1412.14,1390.83,732206,8199850,732299465
2009/05/11,1415.16,1416.42,1420.31,1405.42,681599,7002840,733724152
2009/05/12,1403.51,1406.44,1411.21,1395.91,770682,6639587,727844414
2009/05/13,1414.52,1409.59,1414.63,1400.35,713985,7052485,733586687
2009/05/14,1380.95,1395.60,1400.38,1380.91,700942,7580624,716485052
2009/05/15,1391.73,1395.15,1399.84,1385.83,702847,6841540,720879443
2009/05/18,1386.68,1385.71,1387.20,1366.58,552497,6063756,718538116
